1,1,4499
1,1,38752
1,1,47063
1,1,50619
1,1,55470
1,1,63637
1,1,64853
1,1,66214
1,1,72113
1,1,76897
1,1,78463
1,1,84054
2,2,5835
2,2,30064
2,2,51713
2,2,73402
3,3,32435
3,3,46235
3,3,52204
3,3,53831
3,3,58239
3,3,59504
3,3,60310
3,3,62605
4,4,2851
4,4,4078
4,4,4884
4,4,17007
4,4,30955
4,4,33957
4,4,40549
4,4,42779
4,4,43211
4,4,53853
4,4,54627
4,4,55145
4,4,76342
4,4,78588
4,4,81809
4,4,86834
4,4,89659
4,4,90145
4,4,97239
5,5,8480
5,5,11464
5,5,30902
5,5,38327
5,5,63127
5,5,95903
5,5,96296
5,5,99081
6,6,6263
6,6,11305
6,6,14137
6,6,17989
6,6,43590
6,6,63617
6,6,70689
6,6,81504
6,6,90735
7,7,14859
7,7,20082
7,7,22209
7,7,40098
7,7,41710
7,7,41899
7,7,44487
7,7,45382
7,7,56749
7,7,81313
7,7,83941
7,7,85459
8,8,5572
8,8,6677
8,8,9351
8,8,16182
8,8,32914
8,8,37227
8,8,38594
8,8,44889
8,8,57125
8,8,63320
8,8,69313
8,8,96610
9,9,3932
9,9,5975
9,9,8885
9,9,36783
9,9,38212
9,9,45973
9,9,76266
9,9,84242
10,10,674
10,10,5425
10,10,6003
10,10,12368
10,10,36005
10,10,55834
10,10,58240
10,10,59586
10,10,63001
10,10,75431
10,10,86647
10,10,86859
10,10,88217
10,10,95105
11,11,527
11,11,3192
11,11,10497
11,11,10895
11,11,14000
11,11,19009
11,11,20947
11,11,23130
11,11,27400
11,11,46354
11,11,61424
12,12,11134
12,12,35197
12,12,43317
12,12,60347
13,13,13277
13,13,74540
13,13,98042
13,13,98179
13,13,98325
14,14,4130
14,14,17483
14,14,18210
14,14,18474
14,14,22360
14,14,29340
14,14,37096
14,14,49738
14,14,59757
14,14,73834
14,14,77470
14,14,80079
14,14,84540
14,14,84724
15,15,2355
15,15,11107
15,15,11318
15,15,12963
15,15,14734
15,15,18210
15,15,19374
15,15,19751
15,15,58970
15,15,60469
15,15,60537
15,15,60731
15,15,67845
15,15,73442
15,15,81928
15,15,84498
15,15,91693
15,15,93486
16,16,12088
16,16,13113
16,16,37106
16,16,41015
16,16,57335
16,16,61861
16,16,77052
